Master_ID,Master_Category,Product_Name,Grams,Price_Per_Grams,Selling_Price,Stock,Supplier,Variation_Name_Lazada,Product_ID_Lazada,SKU_ID_Lazada,Key_Lazada,Quantity_Lazada,Product_ID_Shopee,Variation_ID_Shopee,Variation_Name_Shopee,Product_ID_Tiktok,SKU_ID_Tiktok,Variation_Name_Tiktok,Category_Tiktok,Quantity_Tiktok
,Earrings,Pawnable 18K Gold Mini Hollow Heart Dangling Earrings,0.40 - 0.45,9000,5062,,668,20 mm,5182148484,132729176863,fedfeff9704f0606518bd3087d456164,1000,25828887242,236306355524,,1734569012255032362,1734569132006540330,Default,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Flat Cutting Money Earrings,0.30 - 0.35,9000,3937,,668,6 mm,5255133845,132725449637,5e79d28e30deabf41ab7f68dd58c1efb,1000,28715342805,207911560561,,1734570911635506218,1734570800058237994,Default,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Mini Money Earrings,0.25 - 0.30,9000,3375,,668,6 mm,5255146920,132725335641,e0447484b49924bdce64ea8d4174fb4c,999,28307609685,59801162131,,1734570850609955882,1734570851901932586,Default,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Cutting Heart Earrings,0.30 - 0.35,9000,3937,,668,6 mm,5255212215,132725529062,b10837382468470e3debe2f089c28d97,1000,23882175800,330617058785,6mm,1734570979964191786,1734571058124522538,6mm,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Cutting Heart Earrings,0.40 - 0.45,9000,5062,,668,8.5 mm,5255212215,132725529063,bd2b79d2a98c769fd7007c6e6873b716,1000,23882175800,330617058786,8.5mm,1734570979964191786,1734571058124588074,8.5mm,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Gold Bunny Earrings,0.30 - 0.35,9000,3937,,668,7.5 mm,5255242030,132725447243,48faade1598e32a339603d1916aa0312,1000,28756621960,195277037118,,1734570916215686186,1734570919006340138,Default,Gold Earrings (956808),1000
,Earrings,Pawnable 18K Saudi Gold Curve Cutting Ball Barbel Earrings,0.97 - 1.02,9000,11475,,GS,5mm,5261235493,132922157549,4228506f4241f730cc94fb75a40a9abf,30,43173118112,405672187964,5mm,1734787436351554602,1734787453220914218,5mm,Gold Earrings (956808),30
,Earrings,Pawnable 18K Saudi Gold Curve Cutting Ball Barbel Earrings,0.75 - 0.80,9000,9000,,GS,3.5mm,5261235493,132922157548,1f9f15c0b933a7a35ed7af02917c36eb,30,43173118112,390672188199,3.5mm,1734787436351554602,1734787453220848682,3.5mm,Gold Earrings (956808),30
,Earrings,Pawnable 18K Saudi Gold Tricolor Trinity Knot Earrings,1.20 - 1.30,9000,14625,,FG,10 mm,5268475522,132948899039,34f0e511968ce648c9795f14ebbdb106,0,42524265511,306968382637,,1734856221890610218,1734856264279622698,Default,Gold Earrings (956808),0
,Earrings,Pawnable 18K Saudi Gold Hollow Hook Earrings,1.60 - 1.70,9000,19125,,FG,15 mm,5288778693,132971084978,344e07f7910c5446be8e31c8e4ed4f04,1,52300379079,254069841357,,1734862540702581802,1734862648809980970,Default,Gold Earrings (956808),0
,Earrings,Pawnable 18K White Gold Hollow Hook Earrings,1.60 - 1.70,9000,19125,,FG,15 mm,5288846372,132971366004,a86cb5f4e843e3b9ebab3ceffc3843da,0,45350409168,345035822535,,1734862823352009770,1734862832256058410,Default,Gold Earrings (956808),0
,Earrings,Pawnable 18K Saudi Gold Tricolor Knot Earrings,1.85 - 1.90,9000,21375,,FG,10 mm,5294185940,133193740592,e0fb2d09b67b66fa1a563e3bc8d605ff,5,49000709363,415960519839,10mm,1734863004606366762,1735731874077312042,10mm,Gold Earrings (956808),2
,Earrings,Pawnable 18K Saudi Gold Tricolor Knot Earrings,1.10 - 1.20,9000,13500,,FG,7.5 mm,5294185940,132954888666,7d039c0850f4537ad9fb4055e9bca24d,9,49000709363,415960519838,7.5mm,1734863004606366762,1735731874077246506,7.5mm,Gold Earrings (956808),5
,Earrings,Pawnable 18K White Gold Bubble Heart Hoop Earrings,0.96 - 1.06,9000,11925,,FG,15 mm,5294524286,133012051184,cc0b921ac4af862b8ea8a4c19c84aec6,10,41626062899,272118346597,,1734958155797136426,1734957995920032810,Default,Gold Earrings (956808),8
,Earrings,Pawnable 18K Saudi Gold Matte Stripes Texture Clip Earrings,1.46 - 1.54,9000,17325,,FG,12 mm,5320583959,132744128313,eb700fa8b7d6bb74c3343a752bebc05e,5,52557022049,315627250175,,1734593326426784810,1734593328725394474,Default,Gold Earrings (956808),5
,Earrings,Pawnable 18K Saudi Gold Bamboo Hoop Earrings,1.05 - 1.10,9000,12375,,GS,19 mm,5320665326,133019163171,5d6a86d7810720291d3453ab00be387f,10,53008218535,335730597741,19mm,1734981277767074858,1734981490582127658,19mm,Gold Earrings (956808),10
,Earrings,Pawnable 18K Saudi Gold Bamboo Hoop Earrings,0.85 - 0.90,9000,10125,,GS,14 mm,5320665326,133019163170,349f4439006df24320d5b1cf4454c7c3,10,53008218535,335730597740,14mm,1734981277767074858,1734981490582062122,14mm,Gold Earrings (956808),10
,Earrings,Pawnable 18K Saudi Gold Bamboo Hoop Earrings,1.30 - 1.35,9000,15187,,GS,25 mm,5320665326,133019163172,a5a29fc3f585d8d78f124f34649ae615,10,53008218535,335730597742,25mm,1734981277767074858,1734981490582193194,25mm,Gold Earrings (956808),10
,Earrings,Pawnable 18K Saudi Gold Loop Earrings,1.10 - 1.15,9000,12937,,GS,16 mm,5320671066,133018538442,7d5dc001d97fe0dd09b39488a5384a6e,20,57508132287,360722921639,,1734957722003866666,1734957911697818666,Default,Gold Earrings (956808),10
,Earrings,Pawnable 18K Rose Gold Hollow Teardrop Earrings,1.85 - 1.95,9000,21937,,FG,14 mm,5320671955,132965467046,8da262020d2a88f562a2573d8bcc6daf,1,55601939460,310190131120,14mm,1734862844292138026,1734862858112107562,14mm,Gold Earrings (956808),0
,Earrings,Pawnable 18K Rose Gold Hollow Teardrop Earrings,0.75 - 0.85,9000,9562,,FG,10 mm,5320671955,132965467045,b36c9514f0df59d7cae465304b6cd8f5,0,55601939460,310190131119,10mm,1734862844292138026,1734862858112042026,10mm,Gold Earrings (956808),0
,Earrings,Pawnable 18K Saudi Gold Double Ball Layer Tictac,0.35 - 0.40,9000,4500,,SK,27mm,5320706793,132745447768,b01387edcee4f43f9e4594a6bcafb160,2,26593662863,310190188852,,1734599252275987498,1734599406830978090,Default,Gold Earrings (956808),1
,Earrings,Pawnable 18K Saudi Gold Tricolor Texture Clip Earrings,1.40 - 1.50,9000,16875,,FG,12 mm,5320740025,132740193356,fca4aa9daf8172335ad85cfe7ba37b0e,5,51803099068,228220512051,,1734586791508870186,1734587035065222186,Default,Gold Earrings (956808),5
,Earrings,Pawnable 18K Saudi Gold Curve Mini Heart Barbel Earrings,1.00 - 1.05,9000,11812,,SK,5 mm,5355471522,132925177663,84036dc6df4c9d048861f9e8abe0c1b0,20,54053364898,390324988408,,1734787345645012010,1734787410784715818,Default,Gold Earrings (956808),30
,Earrings,Pawnable 18K White Gold Trinity Love Knot Earrings,1.05 - 1.15,9000,12937,,FG,9 mm,5357566706,132954732879,e5f813f21e1d5edef888f5c66eda6ad9,0,43577413244,315332670156,,1734863026125243434,1734862862080443434,Default,Gold Earrings (956808),0
,Earrings,Pawnable 18K White Gold Cutting Ball Earrings,1.10 - 1.20,9000,13500,,FG,8 mm,5357594405,132954766172,da6d4cb3a96f5e329f90b89f42b09419,10,57653447082,415331767081,,1734863144398455850,1734863040127403050,Default,Gold Earrings (956808),6
,Earrings,Pawnable 18K White Gold Mini Huggies Hoop Earrings,0.95 - 1.00,9000,11250,,FG,12 mm,5362300057,133018410857,12b25b201ea0051491341a34efffcc74,9,49353725513,302502156039,12mm,1734957920297452586,1734957982829478954,12mm,Gold Earrings (956808),5
,Earrings,Pawnable 18K White Gold Mini Huggies Hoop Earrings,0.60 - 0.65,9000,7312,,FG,9 mm,5362300057,133018410858,2534e50e80818676dc7ee3f30a4c9384,0,49353725513,302502156038,9mm,1734957920297452586,1734957982829413418,9mm,Gold Earrings (956808),0
